candidate,id,text,createdDate,favoriteCount,retweetCount,polarity,tweetBinary
TulsiGabbard,1124663216284549120,"Our leaders, beginning with Pres. Trump, should be serving the interests of the American people, not foreign governments—like the theocratic dictatorship of Saudi Arabia. Such self-serving powerful politicians are selling out America’s interests for Saudi blood money. Shameless.",2019-05-04,6278,1964,0.090625,1
TulsiGabbard,1124476533849063424,"One year since the Kilauea lava flow, Puna is rebuilding but many remain displaced. Our deepest mahalos to the first responders, my fellow National Guard members, community groups and neighbors who’ve come together to care for those affected. #PunaStrong",2019-05-04,693,130,0.375,1
TulsiGabbard,1124450214113304576,Hawaii still rebuilding one year after Kilauea volcano eruptions https://t.co/tmeipYKbK8 https://t.co/cdClQCe6rc,2019-05-03,0,47,0.0,0
SenGillibrand,1125808278607417344,"From Kavanaugh to state abortion bans—including the one signed today in Georgia—Republicans are waging a coordinated assault to overturn Roe v. Wade. We need a president who understands the real stakes of this fight, and who's willing to draw a line. https://t.co/D0Mx61Oo05",2019-05-07,386,93,0.225,1
SenGillibrand,1125793187933638657,Teachers deserve our endless thanks on #TeacherAppreciationDay and every day. And you know what else they deserve? To be paid as though they hold our kids' futures in their hands—because they do.,2019-05-07,220,53,0.037500000000000006,1
SenGillibrand,1125780234069073920,"Women deserve a president who will fiercely defend their rights, without hesitation. If you agree, sign on and support my pledge to only nominate judges who will uphold Roe v. Wade and protect reproductive rights: https://t.co/GkLOnmFRxb",2019-05-07,224,51,0.0,1
SenGillibrand,1125763466193776640,"I believe that reproductive rights are human rights, and they are nonnegotiable. So in the face of relentless attacks, I pledge that I will only nominate judges — including Supreme Court justices — who will commit to upholding Roe v. Wade. Here's why: https://t.co/giLGFbPtQ9",2019-05-07,1210,241,0.0,1
SenGillibrand,1125600972867276800,Bonus: I got my first two official endorsements in NV 😉 https://t.co/uSd5d4iraw,2019-05-07,360,37,0.25,1
SenGillibrand,1125597825834917888,It was such a pleasure to meet with @astrid_nv and other community leaders for our immigration roundtable! Thank you for sharing your stories with me and for asking such thoughtful questions. https://t.co/PPxJsldAhi,2019-05-07,362,47,0.060937500000000006,1
SenGillibrand,1125544112751554560,We need to do more than stop President Trump's immoral abuse of immigrants at our border—we need to fix our broken immigration system and create a real path to citizenship. Tune in to watch our roundtable with @Astrid_NV and community leaders in Las Vegas: https://t.co/U9u8NGYlFC,2019-05-06,183,44,0.09999999999999999,1
SenGillibrand,1125529585758740481,"What are you afraid of the American public finding out about you, @realDonaldTrump? https://t.co/elCVRWoqHy",2019-05-06,2874,582,-0.19999999999999998,1
SenGillibrand,1125522283978788865,"On paid sick leave, @SenGillibrand says it is critical and is leading the charge on national paid leave plan. Workers should not have to make the  choice between keeping their job and caring for family members.",2019-05-06,0,20,-0.35714285714285715,0
SenGillibrand,1125518325499535363,"Today, @SenGillibrand is talking with members of @SEIU1107 about low wages and support for raising the minimum wage to $15. https://t.co/36XqRDyTEV",2019-05-06,0,25,0.0,0
KamalaHarris,1125818537703038977,"Here's what I think about this whole conversation about ""electability."" https://t.co/20IrafdiUC",2019-05-07,1174,341,0.2,1
KamalaHarris,1125732011958784000,"I am excited to announce #CampKamala, an 8-week nationwide online volunteer training program. You’ll learn how to be an organizer in your community and drum up support for our fight. 

Ready to get involved? Sign up now: https://t.co/EakvAEyUhi https://t.co/BGHGCOnKJK",2019-05-07,6897,2304,0.2875,1
KamalaHarris,1125581027110531079,I’m so inspired by the young leaders across the country who have shown up to our town halls and are getting involved in our democracy. Our children deserve a better leader than what we have now. I’m fighting to be that leader.,2019-05-07,4891,805,0.3,1
KamalaHarris,1125570443392507904,Ms. Foster was expelled from the all-white university 63 years ago because people did not like that she was the first Black student. This is long overdue recognition. https://t.co/UvQlG3SF5P,2019-05-07,10757,2401,0.011111111111111113,1
KamalaHarris,1125537475714256896,"Florida’s plan to allow guns in schools is dangerous. Putting a gun in the classroom is not the answer to curbing gun violence. Our children deserve real solutions. 
https://t.co/qvV9iQQ9j7",2019-05-06,3743,990,-0.19999999999999998,1
KamalaHarris,1125518758876000257,Thank you @KamalaHarris for coming to Michigan to talk about your plans! https://t.co/Igl3DwuGSX,2019-05-06,0,744,0.0,0
KamalaHarris,1125478337747476482,"This is outrageous. Prison officials must be held accountable after leaving Ms. Jackson alone without medical assistance for six hours as she gave birth.
https://t.co/VJjhnrSicW",2019-05-06,8290,3294,-0.5,1
KamalaHarris,1125455191430578176,"These “feel-good” stories shouldn’t be necessary. They are proof the system is failing our teachers and students. There’s no question: we must pay our teachers their worth and properly fund education.
https://t.co/YHKEjDm9QA",2019-05-06,10880,2655,0.09999999999999999,1
KamalaHarris,1125427896468815872,There has been a lot of conversation about “electability” and “who can speak to the Midwest?” Too often their definition of the Midwest leaves people out. That is short-sighted. We cannot get dragged into simplistic narratives or yesterday’s politics. https://t.co/fcG2PAF2iz,2019-05-06,5209,1367,-0.5,1
KamalaHarris,1125355024194899968,It’s simple: teachers are helping educate and raise our country’s children. There shouldn’t be a single question about giving them a much-needed and deserved raise.,2019-05-06,26548,4940,-0.03571428571428571,1
amyklobuchar,1125815455480930304,"Tune in to @FoxNews tomorrow at 5:30 Central Time for my town hall with @BretBaier &amp; @marthamaccallum live from Milwaukee, Wisconsin! https://t.co/S4yonPrhwe",2019-05-07,120,41,0.08522727272727272,1
amyklobuchar,1125577273954983936,"In Nashua,New Hampshire today laying out my national proposal to fight addiction and prioritize mental health treatment. Thanks to Revive Recovery, Jess Parnell and Mayor Donchess &amp; community leaders for hosting us!  ⁦@WMUR9⁩ ⁦@AdamSextonWMUR⁩  https://t.co/98T4LFJK4A",2019-05-07,411,83,0.075,1
amyklobuchar,1125477512945991681,Wishing all who celebrate a blessed Ramadan. #RamadanMubarak,2019-05-06,451,71,0.0,1
amyklobuchar,1125390279681413121,"Bottom line: We need legislation like my Secure Elections Act.

https://t.co/zWJEHtRtZQ",2019-05-06,3241,843,0.4,1
amyklobuchar,1125205261461925888,Thanks Tim!  That was a really fun event last night in Iowa City.  This video captures the spirit! https://t.co/YHkX7L2aTC,2019-05-06,461,58,0.18333333333333335,1
amyklobuchar,1125165285047197698,It was great to see @daveloebsack and all of you last night! https://t.co/M7ahpu44Xw,2019-05-05,150,31,0.4,1
amyklobuchar,1125130773919617025,"Means a lot coming from you, @ASlavitt. Together, we can tackle this problem. https://t.co/kKV9E3pOj3",2019-05-05,729,113,0.0,1
amyklobuchar,1125096861155590145,Joined ⁦@jaketapper⁩ on ⁦@CNNSotu⁩ today..Russian interference in our elections is not a “hoax.” It was—and is—a reality.  As President I will take the word of the FBI &amp; American Intelligence agents over Vladimir Putin’s.  https://t.co/1TwirDPHUD,2019-05-05,1595,438,0.0,1
amyklobuchar,1125096244571860993,"The President should start advocating for the safety of all Americans, and stop pandering to those who openly spread hate. 
https://t.co/w2T0TRG909",2019-05-05,2481,543,-0.4,1
amyklobuchar,1125056914650537984,My plan to address addiction and mental health includes our veterans. When they signed up to serve our country there wasn’t a waiting line. There should never be one for them to get the care they need. https://t.co/EUbWCVohw5,2019-05-05,1453,368,-0.1,1
BetoORourke,1125825853454204930,"In Boone, we talked about the need to confront the true legacy of slavery, of segregation, of suppression, of Jim Crow, of how people have been criminalized and kept down based on their race and ethnicity. This truth is critical to change, progress, equity and justice for all. https://t.co/klO9bF8zps",2019-05-07,161,29,0.0648148148148148,1
BetoORourke,1125818927345545217,The Boone County Iowa Democrats welcome @BetoORourke to Boone this morning! https://t.co/ihgN4IV1Iq,2019-05-07,0,23,1.0,0
BetoORourke,1125803603137003520,"“O’Rourke opened with immigration, guaranteeing universal health care, making sure women have the right to make decisions about their own bodies, raising minimum wage to $15, and emphasizing the importance of unions. He has been to 30 different colleges.” 
https://t.co/Mqu0Z2bTa0",2019-05-07,486,95,0.27714285714285714,1
BetoORourke,1125797685221572608,From Adel to Boone for our second town hall of the morning. Thanks for the welcome. https://t.co/UpOUowAiWb,2019-05-07,313,61,0.3333333333333333,1
BetoORourke,1125785915098583041,"If we want to achieve an economic democracy in this country then we must have a minimum wage that is a living wage, paid family leave, and equal pay for women. We must also ratify the Equal Rights Amendment and always put people before corporations, PACs, and special interests. https://t.co/66Lz8T2Wi5",2019-05-07,1224,231,0.1392857142857143,1
BetoORourke,1125769644315435010,"Democratic presidential candidate Beto O'Rourke in Iowa highlighted climate change after making an unannounced stop in Pacific Junction, a town impacted by severe flooding. https://t.co/BnJ159zaSF",2019-05-07,0,56,0.0,0
BetoORourke,1125769341788618753,Asian and Latino Coalition in Des Moines welcomes Beto O’Rourke on stage with a chant of “¡Viva Beto!” https://t.co/gMt3cYfBAw,2019-05-07,0,52,0.0,0
BetoORourke,1125765472614518784,"Looking forward to our first visit to Minnesota tomorrow! 3:30 in Lakeville at Angry Inch Brewing and 5:30 in Minneapolis at Edison High School. Hope to see you there. 
https://t.co/u4UFAYqZ3q",2019-05-07,729,150,-0.009166666666666665,1
BetoORourke,1125755781020884992,"“O’Rourke held a town hall in Indianola at Simpson College Tuesday, taking questions from the public on a range of issues. O’Rourke focused on immigration, climate change and the need for clean energy, and forgiving student debt.”
https://t.co/UAqbd3fs8J",2019-05-07,424,89,0.18333333333333335,1
BetoORourke,1125604301810884609,"By following the lead of young people, we can finally achieve real progress and real change that will ensure no student has to fear gun violence in their schools, our communities, or this country. https://t.co/0ogyNEm7fi",2019-05-07,1606,348,0.1,1
BernieSanders,1125826017921310720,"This proposal is extreme, unconstitutional, and part of a coordinated attack on women’s rights. We are going to fight this brazenly unconstitutional bill with everything we’ve got. https://t.co/Qbtxu01QVl",2019-05-07,505,126,-0.125,1
BernieSanders,1125775470526595072,We need a climate debate. There are quite simply few issues more important than the survival of our planet and people. https://t.co/yiOyFDUosx,2019-05-07,2486,506,0.2333333333333333,1
BernieSanders,1125747358816505856,Fracking is a danger to our water supply. It’s a danger to the air we breathe. It causes earthquakes. It’s highly explosive. And it’s contributing to climate change. We need to ban it nationwide. https://t.co/acF22iQLRy,2019-05-07,6075,2125,0.16,1
BernieSanders,1125558614817558528,"The frantic attempts by the drug industry and insurance industry to derail Medicare for All are a sign that we are winning — that means we cannot rest, we cannot back down and we cannot accept any substitute. https://t.co/8I2fEgdpHz",2019-05-07,3294,947,0.11481481481481481,1
BernieSanders,1125533176636563456,"The “Partnership for America’s Health Care Future"" is running large ad campaigns against Medicare for All.

So who do they represent? The insurance companies and drug companies.

If we are going to win the fight for Medicare for All, I need your help. https://t.co/SgxwOp3R7e",2019-05-06,1736,590,0.33809523809523806,1
BernieSanders,1125518389450084353,"This campaign is asking for your help to win the primary and defeat Trump, but it is also asking for something more. I will need your help the day after the inauguration to take on the powerful interests in Washington. I will need you in the fight for justice in America. https://t.co/SoDKfwj6cr",2019-05-06,3355,964,0.5,1
BernieSanders,1125473068846022657,"The future of the planet is at stake. We don't have any more time to waste on politicians who call climate change a hoax or refuse to act boldly.

Our job is to rapidly transition away from fossil fuels to renewable energy and create millions of good jobs saving the planet. https://t.co/CzkMR5edCI",2019-05-06,4843,1392,0.26666666666666666,1
BernieSanders,1125460205930729472,"Thousands of family farmers are forced off their land every year as large agri-business corporations take over.

As president, I will impose an immediate moratorium on agri-business mergers, and I will nominate an Attorney General who will aggressively breakup these monopolies. https://t.co/XrEPhriiye",2019-05-06,2411,569,-0.011904761904761918,1
BernieSanders,1125428154657640448,"I grew up in a family that struggled financially, but I was able to attend an excellent public college which at that time was virtually tuition-free.

We are going to once again make higher education a right for all, not a privilege for the few.",2019-05-06,13485,2210,0.26224489795918365,1
BernieSanders,1125188112580132864,"We are creating a democracy that is truly by and for the people. Join our rally in Sioux City, Iowa, and join our campaign at https://t.co/H9OtS3DkVG https://t.co/XB3iaOhhiE",2019-05-05,1188,371,0.0,1
ewarren,1125806165294764032,Mitch McConnell took the same oath of office as I did: To protect and defend the Constitution of the United States—not to protect and defend Donald Trump. Every elected official should read the Mueller report. Then Congress should do its job and begin impeachment proceedings.,2019-05-07,17085,4282,0.0,1
ewarren,1125566452847861760,Looks like a great walk—wish Bruce and I could have joined with Bailey! #WinWithWarren https://t.co/Ugr2N8ZV2t,2019-05-07,633,60,1.0,1
ewarren,1125555677710245888,My plan would wipe out student loan debt for millions of Americans—and I’ve got a calculator to show you how much you’d save. https://t.co/bMA13ankw5,2019-05-07,12552,2588,0.2,1
